iter	Logloss
0	0.6870266128
1	0.6808641435
2	0.6761481968
3	0.6729380102
4	0.6678008913
5	0.6631988862
6	0.658695563
7	0.655202186
8	0.6503520118
9	0.6458708426
10	0.6415039803
11	0.6361435711
12	0.6309094197
13	0.6283386243
14	0.6258174696
15	0.6209392041
16	0.616731813
17	0.6127127891
18	0.6087734059
19	0.6049139612
20	0.6013235308
21	0.5987452119
22	0.5944878324
23	0.5899147851
24	0.5861237173
25	0.5836372389
26	0.5795517583
27	0.5757229677
28	0.5738857956
29	0.569519679
30	0.566800108
31	0.5632230831
32	0.5596056375
33	0.5562060972
34	0.5546051586
35	0.5511882137
36	0.5496552971
37	0.5474745823
38	0.544125291
39	0.5406526837
40	0.5382979053
41	0.5351839437
42	0.5326854469
43	0.530630916
44	0.5276304932
45	0.5263835851
46	0.5238535469
47	0.5226585081
48	0.5199817128
49	0.5174916315
50	0.5153507521
51	0.5129396392
52	0.510210623
53	0.5091677375
54	0.5064150314
55	0.5041429383
56	0.5017044617
57	0.4993278103
58	0.4971150444
59	0.4950251881
60	0.4930056068
61	0.4910981471
62	0.489023742
63	0.4869296415
64	0.4857449173
65	0.4849521546
66	0.4829550577
67	0.4820257377
68	0.4802013431
69	0.4785732748
70	0.4767935018
71	0.4752423497
72	0.4733058187
73	0.4715501018
74	0.4701638269
75	0.4690503497
76	0.467655732
77	0.466258115
78	0.4649935477
79	0.4637419181
80	0.4630459244
81	0.4624873697
82	0.4615857524
83	0.4598931779
84	0.4590503263
85	0.4579680944
86	0.4574668123
87	0.4558882489
88	0.4544061651
89	0.4539367934
90	0.4530971244
91	0.4518823943
92	0.4506326127
93	0.4492898813
94	0.4488688773
95	0.4477541442
96	0.4473500739
97	0.4461073997
98	0.4453448869
99	0.4441903031
100	0.4432643681
101	0.442140509
102	0.4412663087
103	0.4405853386
104	0.4395537661
105	0.4387352789
106	0.4377654134
107	0.4366019591
108	0.4356638606
109	0.4353586012
110	0.4346714854
111	0.4342826699
112	0.4333308528
113	0.4326878963
114	0.4320674274
115	0.431892423
116	0.4313074007
117	0.430423867
118	0.4295575343
119	0.4291162425
120	0.4284089062
121	0.4275941767
122	0.4271802007
123	0.4262286116
124	0.4260032896
125	0.4251167595
126	0.4242668123
127	0.4234212854
128	0.4232146403
129	0.4226192714
130	0.4216396426
131	0.420771514
132	0.4199678352
133	0.419254197
134	0.4190723186
135	0.4182822322
136	0.4180014582
137	0.4174225072
138	0.4167616148
139	0.4160261673
140	0.4155874524
141	0.4150827863
142	0.4146011478
143	0.4140162895
144	0.4138662052
145	0.4135826919
146	0.4128048086
147	0.4122402607
148	0.4115796637
149	0.4108764807
150	0.4106600138
151	0.4104662506
152	0.4099805247
153	0.4098086113
