iter	Passed	Remaining
0	2	2022
1	3	1933
2	5	1716
3	5	1466
4	6	1387
5	7	1299
6	8	1237
7	9	1186
8	11	1316
9	13	1342
10	15	1359
11	17	1428
12	19	1455
13	20	1408
14	20	1374
15	22	1397
16	24	1426
17	26	1446
18	27	1427
19	40	1960
20	41	1939
21	44	1964
22	46	1964
23	48	1972
24	50	1981
25	52	1972
26	55	1999
27	57	2005
28	58	1965
29	60	1959
30	61	1930
31	63	1929
32	65	1928
33	68	1941
34	69	1905
35	71	1915
36	72	1881
37	73	1856
38	74	1844
39	76	1834
40	77	1812
41	79	1804
42	80	1795
43	81	1771
44	83	1762
45	83	1737
46	85	1732
47	86	1710
48	87	1703
49	89	1702
50	90	1693
51	92	1680
52	93	1679
53	94	1659
54	96	1653
55	97	1641
56	98	1635
57	100	1631
58	102	1627
59	103	1621
60	105	1617
61	106	1611
62	108	1606
63	109	1601
64	110	1587
65	111	1571
66	112	1567
67	113	1555
68	115	1551
69	116	1546
70	118	1546
71	119	1542
72	121	1539
73	122	1535
74	124	1533
75	125	1523
76	126	1519
77	127	1512
78	129	1508
79	131	1511
80	132	1501
81	133	1490
82	133	1480
83	135	1477
84	136	1469
85	137	1461
86	138	1450
87	139	1450
88	141	1449
89	142	1439
90	143	1434
91	145	1433
92	147	1434
93	148	1435
94	149	1425
95	151	1427
96	152	1418
97	154	1420
98	155	1414
99	157	1418
100	159	1418
101	161	1424
102	163	1421
103	164	1417
104	166	1418
105	168	1418
106	170	1423
107	172	1422
108	174	1424
109	175	1416
110	177	1419
111	178	1411
112	179	1411
113	181	1406
114	183	1412
115	184	1405
116	185	1400
117	187	1400
118	189	1399
119	189	1393
120	191	1390
121	192	1388
122	193	1381
123	195	1381
124	196	1373
125	197	1371
126	199	1370
127	200	1368
128	201	1361
129	203	1359
130	204	1357
131	206	1355
132	207	1355
133	209	1353
134	210	1346
135	211	1344
136	212	1339
137	214	1336
138	215	1335
139	217	1333
140	218	1329
141	220	1329
142	221	1328
143	223	1326
144	224	1321
145	225	1316
146	226	1315
147	228	1314
148	229	1312
149	231	1311
150	232	1307
151	233	1302
152	235	1303
153	236	1299
154	237	1294
155	238	1288
156	238	1282
157	240	1280
158	241	1276
159	242	1274
160	244	1272
161	245	1268
162	246	1267
163	248	1266
164	249	1264
165	250	1259
166	251	1256
167	253	1254
168	254	1253
169	256	1250
170	257	1246
171	258	1242
172	259	1241
173	261	1239
174	261	1234
175	262	1229
176	264	1227
177	265	1226
178	266	1221
179	268	1220
180	268	1216
181	270	1215
182	271	1212
183	272	1208
184	273	1205
185	275	1204
186	276	1203
187	278	1200
188	278	1196
189	279	1192
190	281	1191
191	283	1191
192	284	1190
193	286	1188
194	287	1187
195	288	1183
196	289	1181
197	291	1180
198	292	1179
199	293	1174
200	295	1175
201	297	1175
202	299	1174
203	300	1172
204	301	1170
205	303	1169
206	304	1166
207	305	1164
208	307	1163
209	309	1163
210	310	1162
211	312	1161
212	314	1161
213	315	1159
214	316	1156
215	317	1153
216	319	1152
217	320	1149
218	321	1146
219	323	1145
220	324	1144
221	325	1140
222	327	1140
223	328	1138
224	330	1138
225	332	1137
226	332	1133
227	334	1130
228	335	1129
229	336	1125
230	337	1124
231	339	1123
232	340	1122
233	342	1121
234	344	1120
235	346	1120
236	347	1118
237	349	1117
238	350	1115
239	351	1114
240	352	1110
241	354	1109
242	355	1108
243	357	1107
244	359	1106
245	360	1105
246	362	1104
247	363	1103
248	365	1102
249	366	1100
250	368	1099
251	370	1098
252	371	1096
253	372	1094
254	373	1091
255	375	1090
256	376	1089
257	378	1087
258	379	1085
259	380	1082
260	381	1079
261	382	1076
262	383	1074
263	384	1072
264	386	1071
265	387	1068
266	388	1065
267	389	1062
268	390	1061
269	392	1060
270	393	1058
271	394	1056
272	396	1055
273	397	1054
274	398	1051
275	400	1049
276	401	1048
277	403	1047
278	404	1046
279	405	1043
280	407	1042
281	408	1039
282	410	1039
283	411	1037
284	412	1035
285	414	1033
286	415	1032
287	417	1031
288	418	1028
289	419	1028
290	421	1027
291	423	1026
292	425	1026
293	427	1026
294	427	1022
295	429	1021
296	430	1018
297	432	1018
298	433	1016
299	434	1014
300	435	1012
301	437	1010
302	438	1009
303	440	1008
304	442	1007
305	443	1005
306	445	1004
307	446	1002
308	448	1002
309	449	1000
310	450	998
311	452	996
312	453	995
313	454	993
314	456	992
315	457	990
316	458	988
317	460	987
318	462	986
319	463	985
320	465	985
321	467	984
322	469	983
323	470	981
324	472	981
325	474	980
326	475	978
327	476	976
328	478	975
329	479	974
330	480	972
331	482	970
332	484	969
333	486	969
334	487	968
335	489	966
336	490	965
337	492	964
338	494	963
339	495	962
340	497	960
341	498	958
342	499	956
343	501	955
344	502	954
345	504	953
346	505	951
347	507	950
348	509	949
349	510	948
350	512	947
351	513	945
352	515	944
353	516	943
354	518	942
355	520	941
356	522	940
357	524	940
358	525	937
359	525	935
360	527	933
361	528	932
362	530	930
363	531	929
364	533	927
365	534	926
366	536	926
367	538	924
368	539	922
369	541	921
370	542	920
371	544	918
372	545	917
373	547	916
374	548	914
375	550	913
376	552	912
377	553	911
